Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR33006331,2025-05-09 06:17:33,2025-05-09 06:10:39,50882,15315482,0,301,9,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR033/33006/SRR33006331/SRR33006331.lite.1,SRX28272378,Lane1Cacao_S231_S231_L001_R2_001.fastq,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP460504,PRJNA1015591,,1015591,SRS24618494,SAMN37358367,simple,410658,soil metagenome,S231F,,,,,,,no,,,,,EAFIT UNIVERSITY,SRA2107780,,public,3779FD504C15E26B64AA8F4DBC0D3A24,F4D30F12C5F0BB72A64141A5B1EEB5C0
SRR33006320,2025-05-09 06:17:33,2025-05-09 06:10:49,41969,12632669,0,301,7,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR033/33006/SRR33006320/SRR33006320.lite.1,SRX28272389,Lane1Cacao_S232_S232_L001_R2_001.fastq,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP460504,PRJNA1015591,,1015591,SRS24618505,SAMN37358369,simple,410658,soil metagenome,S232F,,,,,,,no,,,,,EAFIT UNIVERSITY,SRA2107780,,public,39F1CAA5C9F5FAE968749EB329A69CF7,5B7C13F87F295953267D3D34559A2907
SRR33006306,2025-05-09 06:17:33,2025-05-09 06:10:41,61554,18527754,0,301,11,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR033/33006/SRR33006306/SRR33006306.lite.1,SRX28272403,Lane1Cacao_S233_S233_L001_R2_001.fastq,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP460504,PRJNA1015591,,1015591,SRS24618519,SAMN37358371,simple,410658,soil metagenome,S233F,,,,,,,no,,,,,EAFIT UNIVERSITY,SRA2107780,,public,FE3FAD2BB0A653B7FD4C92FBCA45B8C1,93C41A9B72AC471D6DCA2A867839DAAD
SRR33006295,2025-05-09 06:17:34,2025-05-09 06:10:42,47798,14387198,0,301,8,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR033/33006/SRR33006295/SRR33006295.lite.1,SRX28272414,Lane1Cacao_S234_S234_L001_R2_001.fastq,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP460504,PRJNA1015591,,1015591,SRS24618530,SAMN37358373,simple,410658,soil metagenome,S234F,,,,,,,no,,,,,EAFIT UNIVERSITY,SRA2107780,,public,FBA4324D48C00A8616245A25C4D78C98,35329B91028487B84C353214309F909E
SRR33006284,2025-05-09 06:17:37,2025-05-09 06:10:39,43551,13108851,0,301,7,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR033/33006/SRR33006284/SRR33006284.lite.1,SRX28272425,Lane1Cacao_S235_S235_L001_R2_001.fastq,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP460504,PRJNA1015591,,1015591,SRS24618541,SAMN37358375,simple,410658,soil metagenome,S235F,,,,,,,no,,,,,EAFIT UNIVERSITY,SRA2107780,,public,55C28B7BC07604AE2C2C8AB2990E0C7A,F6CD2ED7A7ACBF2AC238F34073A4C672
SRR33006336,2025-05-09 06:17:35,2025-05-09 06:10:42,31928,9610328,0,301,5,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR033/33006/SRR33006336/SRR33006336.lite.1,SRX28272373,Lane1Cacao_S271_S271_L001_R2_001.fastq,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP460504,PRJNA1015591,,1015591,SRS24618489,SAMN37358447,simple,410658,soil metagenome,S271F,,,,,,,no,,,,,EAFIT UNIVERSITY,SRA2107780,,public,B4727EF4403618BE65CF8D020F112F49,2466FA0D113D969C887A7E153EA75156
SRR33006335,2025-05-09 06:17:35,2025-05-09 06:10:41,45743,13768643,0,301,8,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR033/33006/SRR33006335/SRR33006335.lite.1,SRX28272374,Lane1Cacao_S272_S272_L001_R2_001.fastq,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP460504,PRJNA1015591,,1015591,SRS24618490,SAMN37358449,simple,410658,soil metagenome,S272F,,,,,,,no,,,,,EAFIT UNIVERSITY,SRA2107780,,public,5710B0D2205E73BB8DEF5D5BFA83B371,E65C07CD01C94192BBD5B545F722893C
SRR33006334,2025-05-09 06:17:32,2025-05-09 06:10:48,35057,10552157,0,301,6,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR033/33006/SRR33006334/SRR33006334.lite.1,SRX28272375,Lane1Cacao_S273_S273_L001_R2_001.fastq,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP460504,PRJNA1015591,,1015591,SRS24618491,SAMN37358451,simple,410658,soil metagenome,S273F,,,,,,,no,,,,,EAFIT UNIVERSITY,SRA2107780,,public,618AA701A72D5F5600B19BF60FC631FD,A9707CE0E9B781761B53E8157EBE83CB
SRR33006333,2025-05-09 06:17:33,2025-05-09 06:10:38,17624,5304824,0,301,3,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR033/33006/SRR33006333/SRR33006333.lite.1,SRX28272376,Lane1Cacao_S274_S274_L001_R2_001.fastq,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP460504,PRJNA1015591,,1015591,SRS24618492,SAMN37358453,simple,410658,soil metagenome,S274F,,,,,,,no,,,,,EAFIT UNIVERSITY,SRA2107780,,public,428E6680A7A763BA7CEE67CA47611405,552AA8B902C62DD0736A567BF28F3F79
SRR33006332,2025-05-09 06:17:35,2025-05-09 06:10:41,38927,11717027,0,301,6,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR033/33006/SRR33006332/SRR33006332.lite.1,SRX28272377,Lane1Cacao_S275_S275_L001_R2_001.fastq,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP460504,PRJNA1015591,,1015591,SRS24618493,SAMN37358455,simple,410658,soil metagenome,S275F,,,,,,,no,,,,,EAFIT UNIVERSITY,SRA2107780,,public,D1CA2BFB612855056CBEEAEC7612B3D8,89A600870B1C2B7C200429EDC8B58B4F
