Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR22185388,2023-12-31 00:20:00,2022-11-03 23:13:39,109429,49133101,109429,448,17,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR022/22185/SRR22185388/SRR22185388.lite.1,SRX18164045,S_63,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP406205,PRJNA898075,,898075,SRS15664339,SAMN31597310,simple,410658,soil metagenome,ACOSA_Site_1,,,,,,,no,,,,,UNIVERSIDAD NACIONAL,SRA1534031,,public,B6499A3C0A73F6722C26F8F8302D0E9B,A759BCCC4E8CFA0D0F77E8F50C5DA41C
SRR22185389,2023-12-31 00:20:00,2022-11-03 23:13:32,97983,43993771,97983,448,15,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR022/22185/SRR22185389/SRR22185389.lite.1,SRX18164044,S_62,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP406205,PRJNA898075,,898075,SRS15664339,SAMN31597310,simple,410658,soil metagenome,ACOSA_Site_1,,,,,,,no,,,,,UNIVERSIDAD NACIONAL,SRA1534031,,public,FC1E1D0FC6E1909B19B212E3998540A2,F5983A81FA60761D0CDE384728E94EB2
SRR22185390,2023-12-31 00:20:00,2022-11-03 23:13:39,92976,41745803,92976,448,14,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR022/22185/SRR22185390/SRR22185390.lite.1,SRX18164043,S_61,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP406205,PRJNA898075,,898075,SRS15664339,SAMN31597310,simple,410658,soil metagenome,ACOSA_Site_1,,,,,,,no,,,,,UNIVERSIDAD NACIONAL,SRA1534031,,public,287BB6370C000E67A3BA83169A35BCF5,C7887C00B38F01B087BE29488EE5FE56
SRR22185419,2023-12-31 00:20:00,2022-11-03 23:13:58,108039,48508973,108039,448,17,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR022/22185/SRR22185419/SRR22185419.lite.1,SRX18164014,S_03,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP406205,PRJNA898075,,898075,SRS15664339,SAMN31597310,simple,410658,soil metagenome,ACOSA_Site_1,,,,,,,no,,,,,UNIVERSIDAD NACIONAL,SRA1534031,,public,02B8DBFA5EF5F3AC6472F40AD71B9621,CDF6C1B601BE39DFD1AA88611C81CAB8
SRR22185411,2023-12-31 00:20:00,2022-11-03 23:13:55,116949,52509737,116949,448,18,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR022/22185/SRR22185411/SRR22185411.lite.1,SRX18164022,S_42,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP406205,PRJNA898075,,898075,SRS15664343,SAMN31597319,simple,410658,soil metagenome,ACOSA_Site_10,,,,,,,no,,,,,UNIVERSIDAD NACIONAL,SRA1534031,,public,CBA02A07E4F8204A58481F0D2C6C0854,9AFF8CD5DED3FF59F43607B83DC8970A
SRR22185412,2023-12-31 00:20:00,2022-11-03 23:13:47,98312,44141744,98312,448,15,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR022/22185/SRR22185412/SRR22185412.lite.1,SRX18164021,S_41,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP406205,PRJNA898075,,898075,SRS15664343,SAMN31597319,simple,410658,soil metagenome,ACOSA_Site_10,,,,,,,no,,,,,UNIVERSIDAD NACIONAL,SRA1534031,,public,5B7D18E51B2C071F64F8720E0C2D99D0,EA84E3360C32F6FFF0D7636264E06AF1
SRR22185430,2023-12-31 00:20:00,2022-11-03 23:14:04,117871,52923755,117871,448,18,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR022/22185/SRR22185430/SRR22185430.lite.1,SRX18164003,S_40,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP406205,PRJNA898075,,898075,SRS15664343,SAMN31597319,simple,410658,soil metagenome,ACOSA_Site_10,,,,,,,no,,,,,UNIVERSIDAD NACIONAL,SRA1534031,,public,330D9ACF3915821F7A058BB73509D83E,4DC7EDE21B632882B637BD58B8796427
SRR22185437,2023-12-31 00:20:00,2022-11-03 23:14:07,104731,47023733,104731,448,16,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR022/22185/SRR22185437/SRR22185437.lite.1,SRX18163996,S_33,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP406205,PRJNA898075,,898075,SRS15664343,SAMN31597319,simple,410658,soil metagenome,ACOSA_Site_10,,,,,,,no,,,,,UNIVERSIDAD NACIONAL,SRA1534031,,public,52D128EA1CD381DF9FDA537F973E8B5B,04C701B7ECAD03496C8B5FE57D6D5D94
SRR22185438,2023-12-31 00:20:00,2022-11-03 23:14:06,99538,44692226,99538,448,15,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR022/22185/SRR22185438/SRR22185438.lite.1,SRX18163995,S_32,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP406205,PRJNA898075,,898075,SRS15664343,SAMN31597319,simple,410658,soil metagenome,ACOSA_Site_10,,,,,,,no,,,,,UNIVERSIDAD NACIONAL,SRA1534031,,public,EFE6DEF387367D9E17DC3AA24B20BF8C,848734605BB340D44054D5714EE1269C
SRR22185439,2023-12-31 00:20:00,2022-11-03 23:14:07,114000,51185645,114000,448,18,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR022/22185/SRR22185439/SRR22185439.lite.1,SRX18163994,S_31,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP406205,PRJNA898075,,898075,SRS15664343,SAMN31597319,simple,410658,soil metagenome,ACOSA_Site_10,,,,,,,no,,,,,UNIVERSIDAD NACIONAL,SRA1534031,,public,19CD48BFA94B4E440F8280D5BEE80CCC,ADC77BE5A19BCF9415BBFA5C5204BDEF
